,st,st_name,st_date,st_place,st_knownfor,st_awards_wins,st_awards_nominations,st_link,st_awards_link
182,Eddie Redmayne,Eddie Redmayne,1/6/82,"London, England, UK","['Les Misérables', 'The Theory of Everything', 'The Danish Girl', 'Fantastic Beasts and Where to Find Them']",22,70,https://www.imdb.com/name/nm1519666/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1519666/awards?ref_=nm_ql_2
183,Sullivan Stapleton(I),Sullivan Stapleton,6/14/77,"Melbourne, Victoria, Australia","['300: Rise of an Empire', 'Animal Kingdom', 'Gangster Squad', 'The Hunter']",0,4,https://www.imdb.com/name/nm0822982/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0822982/awards?ref_=nm_ql_2
184,Jack O'Connell(IV),Jack O'Connell,8/1/90,"Derby, England, UK","['Unbroken', ""'71"", 'Starred Up', 'Eden Lake']",14,11,https://www.imdb.com/name/nm1925239/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1925239/awards?ref_=nm_ql_2
185,Essie Davis,Essie Davis,1970-0-0,NA,"['The Babadook', ""Assassin's Creed"", 'The True History of the Kelly Gang', 'Miss Fisher & the Crypt of Tears']",16,31,https://www.imdb.com/name/nm0204583/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0204583/awards?ref_=nm_ql_2
186,Diane Keaton,Diane Keaton,1/5/46,"Los Angeles, California, USA","['Annie Hall', ""Something's Gotta Give"", 'The Family Stone', 'Manhattan']",33,54,https://www.imdb.com/name/nm0000473/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000473/awards?ref_=nm_ql_2
187,Luke Evans(I),Luke Evans,4/15/79,"Pontypool, Wales, UK","['Dracula Untold', 'Beauty and the Beast', 'Furious 6', 'High-Rise']",1,5,https://www.imdb.com/name/nm1812656/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1812656/awards?ref_=nm_ql_2
188,Darío Grandinetti,Darío Grandinetti,3/5/59,"Rosario, Santa Fe, Argentina","['Talk to Her', 'Relatos salvajes', 'Tangos Are for Two', 'The Dark Side of the Heart']",11,2,https://www.imdb.com/name/nm0334882/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0334882/awards?ref_=nm_ql_2
189,Joel Kinnaman,Joel Kinnaman,11/25/79,"Stockholm, Stockholms län, Sweden","['RoboCop', 'Suicide Squad', 'The Darkest Hour', 'Run All Night']",1,2,https://www.imdb.com/name/nm1172478/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1172478/awards?ref_=nm_ql_2
190,Michael Pitt(II),Michael Pitt,4/10/81,"West Orange, New Jersey, USA","['Funny Games', 'Seven Psychopaths', 'The Dreamers', 'I Origins']",3,7,https://www.imdb.com/name/nm0685856/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0685856/awards?ref_=nm_ql_2
191,Kit Harington,Kit Harington,12/26/86,"London, England, UK","['Game of Thrones', 'Pompeii', 'How to Train Your Dragon 2', 'Seventh Son']",2,18,https://www.imdb.com/name/nm3229685/?ref_=adv_li_st_0,https://www.imdb.com/name/nm3229685/awards?ref_=nm_ql_2
192,Aaron Paul(I),Aaron Paul,8/27/79,"Emmett, Idaho, USA","['Breaking Bad', 'Need for Speed', 'A Long Way Down', 'Central Intelligence']",19,16,https://www.imdb.com/name/nm0666739/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0666739/awards?ref_=nm_ql_2
193,Perdita Weeks,Perdita Weeks,12/25/85,"Cardiff, Wales, UK","['As Above, So Below', 'Hamlet', 'Spice World', 'Ready Player One']",NA,NA,https://www.imdb.com/name/nm0917347/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0917347/awards?ref_=nm_ql_2
194,Kevin Costner,Kevin Costner,1/18/55,"Lynwood, California, USA","['The Postman', 'Dances with Wolves', 'Robin Hood: Prince of Thieves', 'The Bodyguard']",56,57,https://www.imdb.com/name/nm0000126/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000126/awards?ref_=nm_ql_2
195,Jon Favreau(I),Jon Favreau,10/19/66,"Queens, New York City, New York, USA","['Chef', 'Swingers', 'Iron Man', 'Couples Retreat']",6,11,https://www.imdb.com/name/nm0269463/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0269463/awards?ref_=nm_ql_2
164,Sam Claflin,Sam Claflin,6/27/86,"Ipswich, Suffolk, England, UK","['The Hunger Games: Catching Fire', 'Me Before You', 'Snow White and the Huntsman', 'Adrift']",2,12,https://www.imdb.com/name/nm3510471/?ref_=adv_li_st_0,https://www.imdb.com/name/nm3510471/awards?ref_=nm_ql_2
165,James Marsden(I),James Marsden,9/18/73,"Stillwater, Oklahoma, USA","['Hairspray', 'X-Men', 'Enchanted', '27 Dresses']",6,12,https://www.imdb.com/name/nm0005188/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0005188/awards?ref_=nm_ql_2
166,Zoey Deutch,Zoey Deutch,11/10/94,"Los Angeles, California, USA","['Set It Up', 'Before I Fall', 'Flower', 'Everybody Wants Some!!']",1,2,https://www.imdb.com/name/nm3614913/?ref_=adv_li_st_0,https://www.imdb.com/name/nm3614913/awards?ref_=nm_ql_2
167,Seth MacFarlane,Seth MacFarlane,10/26/73,"Kent, Connecticut, USA","['Family Guy', 'American Dad!', 'Ted', 'A Million Ways to Die in the West']",22,57,https://www.imdb.com/name/nm0532235/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0532235/awards?ref_=nm_ql_2
168,Nina Hoss,Nina Hoss,7/7/75,"Stuttgart, Baden-Württemberg, Germany","['Phoenix', 'A Most Wanted Man', 'Barbara', 'Yella']",17,19,https://www.imdb.com/name/nm0396125/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0396125/awards?ref_=nm_ql_2
169,Christina Hendricks,Christina Hendricks,5/3/75,"Knoxville, Tennessee, USA","['Ginger & Rosa', 'The Neon Demon', 'Mad Men', 'Lost River']",13,29,https://www.imdb.com/name/nm0376716/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0376716/awards?ref_=nm_ql_2
170,Dan Stevens(IV),Dan Stevens,10/10/82,"Croydon, Surrey, England, UK","['Downton Abbey', 'The Guest', 'Beauty and the Beast']",4,16,https://www.imdb.com/name/nm1405398/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1405398/awards?ref_=nm_ql_2
171,Kaitlyn Dever,Kaitlyn Dever,12/21/96,"Phoenix, Arizona, USA","['Booksmart', 'Short Term 12', 'Justified', 'Men, Women & Children']",1,6,https://www.imdb.com/name/nm3239803/?ref_=adv_li_st_0,https://www.imdb.com/name/nm3239803/awards?ref_=nm_ql_2
172,Alex Essoe,Alex Essoe,NA,NA,"['Starry Eyes', 'Red Island', 'Midnighters', 'Free to Go']",5,5,https://www.imdb.com/name/nm3012273/?ref_=adv_li_st_0,https://www.imdb.com/name/nm3012273/awards?ref_=nm_ql_2
173,Frank Grillo,Frank Grillo,6/8/65,"New York City, New York, USA","['The Grey', 'The Purge: Anarchy', 'Captain America: The Winter Soldier', 'Captain America: Civil War']",0,2,https://www.imdb.com/name/nm0342029/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0342029/awards?ref_=nm_ql_2
174,Britt Robertson,Britt Robertson,4/18/90,"Charlotte, North Carolina, USA","['Tomorrowland', 'The First Time', 'Ask Me Anything', 'The Space Between Us']",3,4,https://www.imdb.com/name/nm1429380/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1429380/awards?ref_=nm_ql_2
175,Aomi Muyock,Aomi Muyock,NA,NA,"['Love', 'Jessica Forever', 'Scenario', 'Le grand journal de Canal+']",NA,NA,https://www.imdb.com/name/nm7312806/?ref_=adv_li_st_0,https://www.imdb.com/name/nm7312806/awards?ref_=nm_ql_2
176,Samuel L. Jackson,Samuel L. Jackson,12/21/48,"Washington, District of Columbia, USA","['Pulp Fiction', 'The Hateful Eight', 'Snakes on a Plane', 'Jackie Brown']",37,84,https://www.imdb.com/name/nm0000168/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000168/awards?ref_=nm_ql_2
177,Dakota Johnson,Dakota Johnson,10/4/89,"Austin, Texas, USA","['Fifty Shades of Grey', 'The Social Network', 'Fifty Shades Freed', 'Fifty Shades Darker']",10,13,https://www.imdb.com/name/nm0424848/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0424848/awards?ref_=nm_ql_2
178,Emily Blunt,Emily Blunt,2/23/83,"Roehampton, London, England, UK","['Edge of Tomorrow', 'The Devil Wears Prada', 'The Adjustment Bureau', 'Salmon Fishing in the Yemen']",22,90,https://www.imdb.com/name/nm1289434/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1289434/awards?ref_=nm_ql_2
179,Lily James(I),Lily James,4/5/89,"Esher, Surrey, England, UK","['Cinderella', 'Pride and Prejudice and Zombies', 'Baby Driver', 'Mamma Mia! Here We Go Again']",4,5,https://www.imdb.com/name/nm4141252/?ref_=adv_li_st_0,https://www.imdb.com/name/nm4141252/awards?ref_=nm_ql_2
180,Anya Taylor-Joy,Anya Taylor-Joy,4/16/96,"Miami, Florida, USA","['The VVitch: A New-England Folktale', 'Morgan', 'Split', 'Glass']",10,14,https://www.imdb.com/name/nm5896355/?ref_=adv_li_st_0,https://www.imdb.com/name/nm5896355/awards?ref_=nm_ql_2
181,Kurt Russell(I),Kurt Russell,3/17/51,"Springfield, Massachusetts, USA","['The Hateful Eight', 'Escape from L.A.', 'Executive Decision', 'Tango & Cash']",6,13,https://www.imdb.com/name/nm0000621/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000621/awards?ref_=nm_ql_2
182,Daisy Ridley,Daisy Ridley,4/10/92,"London, England, UK","['Star Wars: Episode VII - The Force Awakens', 'Star Wars: Episode VIII - The Last Jedi', 'Murder on the Orient Express', 'Chaos Walking']",8,24,https://www.imdb.com/name/nm5397459/?ref_=adv_li_st_0,https://www.imdb.com/name/nm5397459/awards?ref_=nm_ql_2
183,Michael B. Jordan,Michael B. Jordan,2/9/87,"Santa Ana, California, USA","['Black Panther', 'Creed', 'Fruitvale Station', 'Fantastic Four']",33,65,https://www.imdb.com/name/nm0430107/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0430107/awards?ref_=nm_ql_2
184,Blake Lively,Blake Lively,8/25/87,"Tarzana, Los Angeles, California, USA","['Gossip Girl', 'The Age of Adaline', 'The Town', 'The Shallows']",8,21,https://www.imdb.com/name/nm0515116/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0515116/awards?ref_=nm_ql_2
185,Amy Poehler,Amy Poehler,9/16/71,"Burlington, Massachusetts, USA","['Inside Out', 'Baby Mama', 'Saturday Night Live', 'Parks and Recreation']",27,79,https://www.imdb.com/name/nm0688132/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0688132/awards?ref_=nm_ql_2
186,Ed Helms,Ed Helms,1/24/74,"Atlanta, Georgia, USA","['The Hangover', 'The Office', 'Vacation', 'The Daily Show']",6,11,https://www.imdb.com/name/nm1159180/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1159180/awards?ref_=nm_ql_2
187,Mark Ruffalo,Mark Ruffalo,11/22/67,"Kenosha, Wisconsin, USA","['The Avengers', 'The Kids Are All Right', 'Spotlight', 'Foxcatcher']",29,113,https://www.imdb.com/name/nm0749263/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0749263/awards?ref_=nm_ql_2
188,Logan Marshall-Green,Logan Marshall-Green,11/1/76,"Charleston, South Carolina, USA","['The Invitation', 'Upgrade', 'Prometheus', 'Spider-Man: Homecoming']",0,5,https://www.imdb.com/name/nm1334869/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1334869/awards?ref_=nm_ql_2
189,Olivia DeJonge,Olivia DeJonge,4/30/98,"Melbourne, Australia","['The Visit', 'The Sisterhood of Night', 'Better Watch Out', 'Will']",1,4,https://www.imdb.com/name/nm4609822/?ref_=adv_li_st_0,https://www.imdb.com/name/nm4609822/awards?ref_=nm_ql_2
190,Jason Clarke(I),Jason Clarke,7/17/69,"Winton, Queensland, Australia","['Zero Dark Thirty', 'Mudbound', 'Everest', 'Terminator Genisys']",3,8,https://www.imdb.com/name/nm0164809/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0164809/awards?ref_=nm_ql_2
191,Anton Yelchin(1989_2016),Anton Yelchin,3/11/89,"Leningrad, Russian SFSR, USSR [now St. Petersburg, Russia]","['Star Trek', 'Green Room', 'Like Crazy', 'Hearts in Atlantis']",8,16,https://www.imdb.com/name/nm0947338/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0947338/awards?ref_=nm_ql_2
192,Amy Schumer,Amy Schumer,6/1/81,"Manhattan, New York City, New York, USA","['Trainwreck', 'Inside Amy Schumer', 'I Feel Pretty', 'Snatched']",17,41,https://www.imdb.com/name/nm2154960/?ref_=adv_li_st_0,https://www.imdb.com/name/nm2154960/awards?ref_=nm_ql_2
193,Brooke Butler(I),Brooke Butler,1/27/88,"Woodinville, Washington, USA","['Ozark', 'All Cheerleaders Die', 'The Resident', 'The Sand']",NA,NA,https://www.imdb.com/name/nm4703551/?ref_=adv_li_st_0,https://www.imdb.com/name/nm4703551/awards?ref_=nm_ql_2
194,Levi Miller(II),Levi Miller,9/30/02,Australia,"['Pan', 'Red Dog: True Blue', 'Jasper Jones', 'Better Watch Out']",2,3,https://www.imdb.com/name/nm5920962/?ref_=adv_li_st_0,https://www.imdb.com/name/nm5920962/awards?ref_=nm_ql_2
195,O'Shea Jackson Jr.,O'Shea Jackson Jr.,2/24/91,"Los Angeles, California, USA","['Straight Outta Compton', 'Ingrid Goes West', 'Den of Thieves', 'Godzilla: King of the Monsters']",4,5,https://www.imdb.com/name/nm6578009/?ref_=adv_li_st_0,https://www.imdb.com/name/nm6578009/awards?ref_=nm_ql_2
196,Bryan Cranston,Bryan Cranston,3/7/56,"Hollywood, California, USA","['Breaking Bad', 'Malcolm in the Middle', 'Argo', 'Trumbo']",53,88,https://www.imdb.com/name/nm0186505/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0186505/awards?ref_=nm_ql_2
197,Melissa McCarthy,Melissa McCarthy,8/26/70,"Plainfield, Illinois, USA","['The Heat', 'Spy', 'Bridesmaids', 'Tammy']",36,103,https://www.imdb.com/name/nm0565250/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0565250/awards?ref_=nm_ql_2
198,Günes Sensoy,Günes Sensoy,NA,NA,"['Mustang', 'Speechless', 'Muhtesem Yüzyil: Kösem']",5,1,https://www.imdb.com/name/nm7322143/?ref_=adv_li_st_0,https://www.imdb.com/name/nm7322143/awards?ref_=nm_ql_2
199,Ezra Miller,Ezra Miller,9/30/92,"Hoboken, New Jersey, USA","['The Perks of Being a Wallflower', 'We Need to Talk About Kevin', 'Justice League', 'Suicide Squad']",11,16,https://www.imdb.com/name/nm3009232/?ref_=adv_li_st_0,https://www.imdb.com/name/nm3009232/awards?ref_=nm_ql_2
200,Mae Whitman,Mae Whitman,6/9/88,"Los Angeles, California, USA","['The Duff', 'The Perks of Being a Wallflower', 'One Fine Day', 'Scott Pilgrim vs. the World']",9,30,https://www.imdb.com/name/nm0926165/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0926165/awards?ref_=nm_ql_2
201,Edgar Ramírez(IV),Edgar Ramírez,3/25/77,"Caracas, Venezuela","['Gold', 'Point Break', 'Carlos', 'Domino']",11,17,https://www.imdb.com/name/nm1183149/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1183149/awards?ref_=nm_ql_2
202,Tye Sheridan,Tye Sheridan,11/11/96,"Elkhart, Texas, USA","['Mud', 'Ready Player One', 'X-Men: Apocalypse', 'Joe']",8,15,https://www.imdb.com/name/nm4446467/?ref_=adv_li_st_0,https://www.imdb.com/name/nm4446467/awards?ref_=nm_ql_2
203,Tom Hiddleston,Tom Hiddleston,2/9/81,"Westminster, London, England, UK","['The Avengers', 'Thor', 'The Night Manager', 'Thor: The Dark World']",6,33,https://www.imdb.com/name/nm1089991/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1089991/awards?ref_=nm_ql_2
204,Lake Bell,Lake Bell,3/24/79,"New York City, New York, USA","['In a World...', 'No Strings Attached', ""It's Complicated"", 'Man Up']",6,14,https://www.imdb.com/name/nm1128572/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1128572/awards?ref_=nm_ql_2
205,Scott Eastwood(I),Scott Eastwood,3/21/86,"Carmel, California, USA","['Suicide Squad', 'The Fate of the Furious', 'Pacific Rim: Uprising', 'The Longest Ride']",1,2,https://www.imdb.com/name/nm2207222/?ref_=adv_li_st_0,https://www.imdb.com/name/nm2207222/awards?ref_=nm_ql_2
206,Ed Speleers,Ed Speleers,4/7/88,"Chichester, England, UK","['Downton Abbey', 'Outlander', 'Wolf Hall', 'Alice Through the Looking Glass']",1,3,https://www.imdb.com/name/nm1968873/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1968873/awards?ref_=nm_ql_2
207,Taron Egerton,Taron Egerton,11/10/89,"Birkenhead, Cheshire, England, UK","['Kingsman: The Secret Service', 'Eddie the Eagle', 'Kingsman: The Golden Circle', 'Sing']",2,6,https://www.imdb.com/name/nm5473782/?ref_=adv_li_st_0,https://www.imdb.com/name/nm5473782/awards?ref_=nm_ql_2
208,Olivia Wilde,Olivia Wilde,3/10/84,"New York City, New York, USA","['Tron', 'The Incredible Burt Wonderstone', 'The Lazarus Effect', 'House M.D.']",7,13,https://www.imdb.com/name/nm1312575/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1312575/awards?ref_=nm_ql_2
209,Abraham Attah,Abraham Attah,2007/2/1,Ghana,"['Beasts of No Nation', 'Spider-Man: Homecoming', 'Out of the Village', 'Tasmanian Devil']",7,18,https://www.imdb.com/name/nm6781688/?ref_=adv_li_st_0,https://www.imdb.com/name/nm6781688/awards?ref_=nm_ql_2
210,Auli'i Cravalho,Auli'i Cravalho,11/22/00,"Kohala, Hawaii, USA","['Moana', 'Ralph Breaks the Internet', 'Weird City', 'Gone Fishing']",6,8,https://www.imdb.com/name/nm7635388/?ref_=adv_li_st_0,https://www.imdb.com/name/nm7635388/awards?ref_=nm_ql_2
211,Emilia Clarke,Emilia Clarke,10/23/86,"London, England, UK","['Game of Thrones', 'Terminator Genisys', 'Me Before You', 'Solo: A Star Wars Story']",4,37,https://www.imdb.com/name/nm3592338/?ref_=adv_li_st_0,https://www.imdb.com/name/nm3592338/awards?ref_=nm_ql_2
212,Mario Casas,Mario Casas,6/12/86,"A Coruña, A Coruña, Galicia, Spain","['Three Steps Above Heaven', 'Witching and Bitching', 'The 33', 'El fotógrafo de Mauthausen']",9,14,https://www.imdb.com/name/nm1832584/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1832584/awards?ref_=nm_ql_2
213,Felicity Jones(II),Felicity Jones,10/17/83,"Birmingham, West Midlands, England, UK","['Rogue One', 'The Theory of Everything', 'Like Crazy', 'Inferno']",11,40,https://www.imdb.com/name/nm0428065/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0428065/awards?ref_=nm_ql_2
214,Mahershala Ali,Mahershala Ali,2/16/74,"Oakland, California, USA","['House of Cards', 'Luke Cage', 'The Curious Case of Benjamin Button', 'The Place Beyond the Pines']",76,53,https://www.imdb.com/name/nm0991810/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0991810/awards?ref_=nm_ql_2
215,Liam Hemsworth,Liam Hemsworth,1/13/90,"Melbourne, Victoria, Australia","['The Hunger Games', 'The Hunger Games: Mockingjay - Part 1', 'The Hunger Games: Catching Fire', 'Independence Day: Resurgence']",6,16,https://www.imdb.com/name/nm2955013/?ref_=adv_li_st_0,https://www.imdb.com/name/nm2955013/awards?ref_=nm_ql_2
216,Eva Green(I),Eva Green,7/6/80,"Paris, France","['Casino Royale', 'Penny Dreadful', 'The Dreamers', 'Kingdom of Heaven']",5,20,https://www.imdb.com/name/nm1200692/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1200692/awards?ref_=nm_ql_2
217,Neel Sethi,Neel Sethi,12/22/03,"New York City, New York, USA","['The Jungle Book', 'Jimmy Kimmel Live!', 'Diwali', 'Food Network Star Kids']",0,6,https://www.imdb.com/name/nm5888481/?ref_=adv_li_st_0,https://www.imdb.com/name/nm5888481/awards?ref_=nm_ql_2
218,Taraji P. Henson,Taraji P. Henson,9/11/70,"Washington, District of Columbia, USA","['The Curious Case of Benjamin Button', 'Hidden Figures', 'Hustle & Flow', 'The Karate Kid']",31,68,https://www.imdb.com/name/nm0378245/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0378245/awards?ref_=nm_ql_2
219,Louis C.K.,Louis C.K.,9/12/67,"Washington, District of Columbia, USA","['Louie', 'American Hustle', 'Horace and Pete', 'Better Things']",25,85,https://www.imdb.com/name/nm0127373/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0127373/awards?ref_=nm_ql_2
220,Travis Fimmel,Travis Fimmel,7/15/79,"nr. Echuca, Victoria, Australia","['Warcraft', 'Vikings', 'The Baytown Outlaws', 'The Experiment']",0,1,https://www.imdb.com/name/nm1379938/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1379938/awards?ref_=nm_ql_2
221,Ryûnosuke Kamiki,Ryûnosuke Kamiki,5/19/93,"Fujimi, Japan","['Your Name.', 'Spirited Away', ""Howl's Moving Castle"", 'Arrietty']",2,1,https://www.imdb.com/name/nm1126340/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1126340/awards?ref_=nm_ql_2
222,Min-hee Kim,Min-hee Kim,3/1/82,South Korea,"['The Handmaiden', 'Bamui haebyun-eoseo honja', 'Geu-hu', 'Yeonaeui wondo']",11,11,https://www.imdb.com/name/nm1195119/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1195119/awards?ref_=nm_ql_2
223,Stephen Lang(I),Stephen Lang,7/11/52,"New York City, New York, USA","['Avatar', ""Don't Breathe"", 'Tombstone', 'Gods and Generals']",6,10,https://www.imdb.com/name/nm0002332/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0002332/awards?ref_=nm_ql_2
224,John Krasinski,John Krasinski,10/20/79,"Newton, Massachusetts, USA","['A Quiet Place', 'The Office', 'Something Borrowed', ""It's Complicated""]",13,58,https://www.imdb.com/name/nm1024677/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1024677/awards?ref_=nm_ql_2
225,Jenna Kanell,Jenna Kanell,NA,NA,"['The Front Runner', 'The Bye Bye Man', 'Terrifier', 'Summer Gold']",3,2,https://www.imdb.com/name/nm3957052/?ref_=adv_li_st_0,https://www.imdb.com/name/nm3957052/awards?ref_=nm_ql_2
226,Teresa Palmer(I),Teresa Palmer,2/26/86,"Adelaide, South Australia, Australia","['Lights Out', 'I Am Number Four', 'Hacksaw Ridge', 'Warm Bodies']",0,9,https://www.imdb.com/name/nm1954240/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1954240/awards?ref_=nm_ql_2
227,Casey Affleck,Casey Affleck,8/12/75,"Falmouth, Massachusetts, USA","['Manchester by the Sea', 'Gone Baby Gone', 'The Assassination of Jesse James by the Coward Robert Ford', ""Ocean's Eleven""]",66,55,https://www.imdb.com/name/nm0000729/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000729/awards?ref_=nm_ql_2
228,Brian Cox(I),Brian Cox,6/1/46,"Dundee, Scotland, UK","['X2: X-Men United', 'Troy', 'Adaptation.', 'Super Troopers']",12,23,https://www.imdb.com/name/nm0004051/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0004051/awards?ref_=nm_ql_2
196,Adam Driver(I),Adam Driver,11/19/83,"San Diego, California, USA","['Star Wars: Episode VII - The Force Awakens', 'Paterson', 'Star Wars: Episode VIII - The Last Jedi', 'Inside Llewyn Davis']",12,68,https://www.imdb.com/name/nm3485845/?ref_=adv_li_st_0,https://www.imdb.com/name/nm3485845/awards?ref_=nm_ql_2
197,Erika Linder,Erika Linder,5/11/90,"Stockholm, Sweden",NA,NA,NA,https://www.imdb.com/name/nm7621162/?ref_=adv_li_st_0,https://www.imdb.com/name/nm7621162/awards?ref_=nm_ql_2
198,Suki Waterhouse,Suki Waterhouse,1/5/92,"Hammersmith, London, England, UK","['Love, Rosie', 'Insurgent', 'The Bad Batch', 'Pride and Prejudice and Zombies']",1,3,https://www.imdb.com/name/nm4025229/?ref_=adv_li_st_0,https://www.imdb.com/name/nm4025229/awards?ref_=nm_ql_2
199,Keegan-Michael Key,Keegan-Michael Key,3/22/71,"Southfield, Michigan, USA","['Keanu', 'The Predator', 'Tomorrowland', ""Let's Be Cops""]",2,23,https://www.imdb.com/name/nm1221047/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1221047/awards?ref_=nm_ql_2
200,Lauren Cohan,Lauren Cohan,1/7/82,"Philadelphia, Pennsylvania, USA","['The Boy', 'Mile 22', 'Batman v Superman: Dawn of Justice', 'Casanova']",0,3,https://www.imdb.com/name/nm1659348/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1659348/awards?ref_=nm_ql_2
201,John Gallagher Jr.,John Gallagher Jr.,6/17/84,"Wilmington, Delaware, USA","['10 Cloverfield Lane', 'Short Term 12', 'Hush', 'Peppermint']",0,3,https://www.imdb.com/name/nm0302330/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0302330/awards?ref_=nm_ql_2
202,John Goodman(I),John Goodman,6/20/52,"St. Louis, Missouri, USA","['10 Cloverfield Lane', 'Barton Fink', 'Argo', 'Flight']",31,71,https://www.imdb.com/name/nm0000422/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0000422/awards?ref_=nm_ql_2
203,Ana de Armas,Ana de Armas,4/30/88,"Havana, Cuba","['Blade Runner 2049', 'Hands of Stone', 'War Dogs']",1,2,https://www.imdb.com/name/nm1869101/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1869101/awards?ref_=nm_ql_2
204,Charlie Hunnam,Charlie Hunnam,4/10/80,"Newcastle upon Tyne, Tyne and Wear, England, UK","['Sons of Anarchy', 'Pacific Rim', 'King Arthur: Legend of the Sword', 'Children of Men']",3,5,https://www.imdb.com/name/nm0402271/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0402271/awards?ref_=nm_ql_2
205,Paul Dano,Paul Dano,6/19/84,"New York City, New York, USA","['There Will Be Blood', 'Little Miss Sunshine', 'Love & Mercy', 'Prisoners']",24,50,https://www.imdb.com/name/nm0200452/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0200452/awards?ref_=nm_ql_2
206,Guy Pearce(I),Guy Pearce,10/5/67,"Ely, Cambridgeshire, England, UK","['Memento', 'L.A. Confidential', 'The Rover', 'Lockout']",10,37,https://www.imdb.com/name/nm0001602/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0001602/awards?ref_=nm_ql_2
207,Yoo Gong,Yoo Gong,7/10/79,"Busan, South Korea","['Busanhaeng', 'Sseulsseulhago Chalranhashin: Dokkaebi', 'Do-ga-ni', 'Nam-gwa yeo']",3,9,https://www.imdb.com/name/nm1508003/?ref_=adv_li_st_0,https://www.imdb.com/name/nm1508003/awards?ref_=nm_ql_2
208,Armie Hammer,Armie Hammer,8/28/86,"Los Angeles, California, USA","['The Social Network', 'Call Me by Your Name', 'The Lone Ranger', 'The Man from U.N.C.L.E.']",9,38,https://www.imdb.com/name/nm2309517/?ref_=adv_li_st_0,https://www.imdb.com/name/nm2309517/awards?ref_=nm_ql_2
209,Kate Mara(I),Kate Mara,2/27/83,"Bedford, New York, USA","['Fantastic Four', 'Happythankyoumoreplease', 'Shooter', '127 Hours']",2,5,https://www.imdb.com/name/nm0544718/?ref_=adv_li_st_0,https://www.imdb.com/name/nm0544718/awards?ref_=nm_ql_2
